224,Down:Down:Down:Down:,Up:Up:Up:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Mid:,
228,Down:Down:Down:Down:,Up:Up:Up:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Up:,
239,Down:Down:Down:Down:,Up:Up:Up:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Up:,
345,Down:Down:Down:Down:,Up:Up:Up:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Up:,
439,Down:Down:Down:Down:,Up:Up:Up:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Down:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Up:,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,
3,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,
