,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
149,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
153,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
160,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
162,Down:Down:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
166,Down:Down:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
175,Down:Down:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Mid:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
179,Down:Down:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Mid:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
181,Down:Down:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Mid:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
196,Down:Down:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Mid:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
204,Down:Down:Mid:Down:,Mid:Mid:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Mid:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
208,Down:Down:Mid:Down:,Mid:Mid:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Mid:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
209,Down:Down:Mid:Down:,Mid:Mid:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Mid:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
211,Down:Down:Mid:Down:,Mid:Mid:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
212,Down:Down:Mid:Down:,Mid:Mid:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Mid:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
213,Down:Down:Mid:Down:,Mid:Mid:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
221,Down:Down:Mid:Down:,Mid:Mid:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
225,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
229,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
230,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
234,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Down:,
243,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
260,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
271,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
310,Up:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
317,Up:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
331,Up:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
356,Up:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
372,Up:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Up:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
419,Up:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Down:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
425,Up:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Down:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
432,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Down:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
454,Down:Down:Mid:Down:,Mid:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Down:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
482,Down:Down:Mid:Down:,Up:Up:Up:Up:,Up:Up:Up:Up:,Down:Mid:Down:Up:,Down:Down:Down:Down:,Down:Mid:Up:Mid:,Down:Mid:Up:Mid:,Mid:Down:Down:Up:,Up:Down:Down:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Down:Down:,
