,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
326,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Up:,
329,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Up:,
346,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Up:,
347,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Down:,
414,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Down:,
417,Down:Up:Down:Down:,Down:Down:Mid:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Down:,
420,Down:Up:Down:Down:,Down:Down:Mid:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Down:,
423,Down:Up:Down:Down:,Down:Down:Mid:Mid:,Up:Mid:Down:Up:,Mid:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Down:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Down:,
452,Down:Up:Down:Down:,Down:Down:Mid:Mid:,Up:Mid:Down:Up:,Up:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Down:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Down:,
557,Down:Up:Down:Down:,Down:Down:Mid:Mid:,Up:Mid:Down:Up:,Up:Up:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Down:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Down:,
